code,term,estimate,std.error,p.value
stock100988,(Intercept),657310371.3916318,106310920.09590138,6.293239533252419e-10
stock101627,(Intercept),126971494.10823709,62373909.120351866,0.04178543907715196
stock102340,(Intercept),91476598.67839266,19649848.97518938,3.23456830716033e-6
stock101681,(Intercept),87004495.59147479,24130087.229744907,3.113801954700922e-4
stock100831,(Intercept),29741615.06512188,12481405.856884561,0.017178081900727164
stock101868,(Intercept),17995078.83517121,8080672.680650378,0.02595206479116794
stock100015,(Intercept),16941322.056993365,7852061.511060343,0.030961777753054642
stock101602,(Intercept),10016806.78807402,5045618.892021499,0.04711684281161694
stock103385,(Intercept),4886134.969227803,2183503.9096141723,0.02523738969117871
stock103241,(Intercept),3107251.1252172184,1553079.185573754,0.04542434072172817
stock100788,(Intercept),1712236.0290489625,841662.5749227048,0.0419163468377943
stock103024,(Intercept),874160.1612700123,342715.79469265684,0.01075113357525262
stock101395,(Intercept),785266.4487737336,290599.7818207987,0.00688768118015496
stock101304,(Intercept),447150.299496998,176127.21312686396,0.011123604288964641
stock101953,(Intercept),295604.1643021684,78102.09927203348,1.538057985190317e-4
stock101693,(Intercept),267086.2729080159,134055.39997503255,0.04633185401135078
stock101158,(Intercept),104052.03134675177,52218.355169261085,0.046301620275736595
stock101975,(Intercept),38677.017192462095,16133.818184589874,0.01651802986303742
stock101141,(Intercept),17368.313690297004,8537.200335513287,0.04190852857228963
stock103265,(Intercept),6057.663576962733,2273.7330427487523,0.007717327982530328
stock103478,(Intercept),588.5412388424198,191.92340829974566,0.0021655020754695734
stock101082,(Intercept),311.78763939536867,134.18754240343824,0.020151154193288
stock101520,(Intercept),110.49021766743161,48.55474244652434,0.02287113870786053
stock101220,(Intercept),85.17707594461815,37.27154162243399,0.02229457970634133
stock100860,(Intercept),65.1498594641071,31.69435316113648,0.03982429262880648
stock101911,(Intercept),19.42570858764377,6.590105195404164,0.0032013886442278
stock100609,(Intercept),15.897549907152085,4.205073013317259,1.5647315132388896e-4
stock100888,(Intercept),5.581111066584748,2.1872317414122744,0.010720555379133507
stock103135,(Intercept),5.110055589900915,1.070771610227117,1.8212360217186144e-6
stock100257,(Intercept),1.831564369979624,0.19995543207530075,5.196322980227587e-20
