code,mu,sigma,tvalue
stock103525,0.29403915524402935,0.22350157037548324,1.3156021890586396
stock100994,0.22997102767228964,0.17690769051113958,1.299949295634543
stock103501,0.23897091357916142,0.19301424298540806,1.2380998929557114
stock100690,0.5119774506621634,0.41844512979147264,1.2235235021549935
stock102759,0.23533472529106692,0.20612137250435864,1.1417288873626656
stock101167,0.25014201381723317,0.22607020136220296,1.106479369284336
stock100163,0.2614922812144155,0.24447132858940965,1.0696235125943647
stock100307,0.30115308383016204,0.2986635598220585,1.0083355465580963
stock103174,0.2754772028912561,0.2962009835250067,0.930034733892094
stock100395,0.23590143360666896,0.2568904970192882,0.9182956798474204
stock103095,0.46498374192300834,0.5086857829271559,0.9140883380843263
stock101232,0.40571278276455014,0.4540293720140677,0.8935826793866092
stock100234,0.35600630159447033,0.399800037390765,0.8904609011992397
stock102587,0.4137214044178474,0.46665134293913707,0.8865749786812612
stock103436,0.2729705734476493,0.3092690248707176,0.8826314680616916
stock100553,0.4030297248658762,0.4712773218314099,0.8551859090093286
stock102643,0.24345409997558418,0.3059662444518197,0.7956894081952257
stock100760,0.8239531129689687,1.0579968404121611,0.7787859864004729
stock102827,0.24975873740329876,0.323347368008001,0.7724161756502025
stock100927,0.8533053100384762,1.1219474770629643,0.7605572698218103
stock103443,0.1771432325559615,0.23360920506542185,0.7582887519622904
stock102301,0.16251636766946143,0.21801291723055982,0.7454437550486609
stock101053,0.21992897803876085,0.30161491827410514,0.7291714192959489
stock103237,0.133861739665395,0.1844738182408387,0.725640857558619
stock101659,0.42118973900694856,0.5807540583529931,0.725246312012755
stock103445,0.45892012568605645,0.6351721757107123,0.722512955125211
stock102777,0.1676277715394509,0.23312383490031885,0.7190503348193747
stock102937,0.22307840028384415,0.310396369639506,0.7186888188896254
stock101413,0.15705022190668408,0.21909424556386276,0.716815822809487
stock100929,0.17494330097418412,0.24676152505228796,0.7089569613298272
